"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
100750,"2094646","London","No","Prendergast School","Comprehensive (secondary)","Voluntary aided school","Hilly Fields","Adelaide Avenue",NA,"London","SE4 1LE",1,"0208 6903710",40,1,1,1,1,1,1
138961,"2105403","London","No","St Michael's Catholic College","Comprehensive (secondary)","Academy converter","Llewellyn Street","Bermondsey",NA,"London","SE16 4UN",1,"0207 2376432",56,1,1,1,1,1,1
132711,"2106908","London","No","Harris Girls' Academy East Dulwich","Comprehensive (secondary)","Academy sponsor led","Homestall Road",NA,NA,"London","SE22 0NR",1,"0207 7322276",71,1,1,1,1,1,1
134222,"2106905","London","No","City of London Academy (Southwark)","Comprehensive (secondary)","Academy sponsor led","240 Lynton Road",NA,NA,"London","SE1 5LA",2,"0207 3945100",109,1,1,1,1,1,1
135584,"2106912","London","No","Ark Globe Academy","Comprehensive (secondary)","Academy sponsor led","Harper Road",NA,NA,"London","SE1 6AG",2,"0207 4076877",95,1,1,1,1,1,1
138960,"2105405","London","No","Sacred Heart Catholic School","Comprehensive (secondary)","Academy converter","Camberwell New Road",NA,NA,"London","SE5 0RP",1,"0207 2746844",50,1,1,1,1,1,1
136309,"2104265","London","No","Kingsdale Foundation School","Comprehensive (secondary)","Academy converter","Alleyn Park","Dulwich",NA,"London","SE21 8SQ",1,"0208 6707575",71,1,1,1,1,1,1
100849,"2104680","London","No","St Saviour's and St Olave's Church of England School","Comprehensive (secondary)","Voluntary aided school","New Kent Road",NA,NA,"London","SE1 4AN",1,"0207 4071843",60,1,1,1,1,1,1
100857,"2105402","London","No","The St Thomas the Apostle College","Comprehensive (secondary)","Voluntary aided school","Hollydale Road","Nunhead",NA,"London","SE15 2EB",1,"0207 6390106",56,1,1,1,1,1,1
135315,"2106909","London","No","Ark Walworth Academy","Comprehensive (secondary)","Academy sponsor led","Shorncliffe Road",NA,NA,"London","SE1 5UJ",2,"0207 4509570",96,1,1,1,1,1,1
